T,k,curvature,is_zero
83.822937,4,40.41565179191409,False
83.822937,5,9.977941883843044,False
83.822937,6,899746.8249008086,False
83.822937,7,721.7650993991575,False
83.822937,8,25597.285162217024,False
86.08038350000001,0,415.6849580783594,False
86.08038350000001,1,12.938572768736647,False
86.08038350000001,2,134180.0332661904,False
86.08038350000001,3,243.4420428810247,False
86.08038350000001,4,2.064399019785501,False
86.08038350000001,5,46.66213273551989,False
86.08038350000001,6,962844.5336543338,False
86.08038350000001,7,3769.352552945518,False
86.08038350000001,8,761469.9929531919,False
88.1171925,0,403.45257271211796,False
88.1171925,1,11.433191910712335,False
88.1171925,2,134321.6690384612,False
88.1171925,3,261.0185511119725,False
88.1171925,4,1.159264023664619,False
88.1171925,5,31.010352019578136,False
88.1171925,6,1096396.9830819687,False
88.1171925,7,2337.134712835131,False
88.1171925,8,426957.8357540665,False
90.65050500000001,0,352.5943009719875,False
90.65050500000001,1,8.732470904808785,False
90.65050500000001,2,125640.21424835992,False
90.65050500000001,3,241.58086985090407,False
90.65050500000001,4,19.188623273658223,False
90.65050500000001,5,22.25429147628688,False
90.65050500000001,6,159093.09623152346,False
90.65050500000001,7,4943.39289946575,False
90.65050500000001,8,180768.62916798284,False
93.57162149999999,0,367.9500799703669,False
93.57162149999999,1,10.41146562048755,False
93.57162149999999,2,123865.85598437804,False
93.57162149999999,3,233.1534227161141,False
93.57162149999999,4,5.340009326393336,False
93.57162149999999,5,35.14097763890334,False
93.57162149999999,6,674403.1416139904,False
